epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.7410839796066284,0.8608623743057251,0.5381433963775635,0.7335825562477112
1,0.49775809049606323,0.7055197358131409,0.4671410024166107,0.6834771037101746
2,0.4517458379268646,0.6721203923225403,0.4346853196620941,0.6593067049980164
3,0.42790958285331726,0.6541479825973511,0.41720303893089294,0.6459125876426697
4,0.4119850695133209,0.6418606042861938,0.40333518385887146,0.635086715221405
5,0.40108439326286316,0.6333122253417969,0.39175018668174744,0.6258994936943054
6,0.39318180084228516,0.6270421147346497,0.3843376338481903,0.6199496984481812
7,0.3865883946418762,0.6217623353004456,0.3792848289012909,0.6158610582351685
8,0.3808199167251587,0.6171060800552368,0.37405693531036377,0.6116019487380981
9,0.3758698105812073,0.613082230091095,0.37074729800224304,0.6088902354240417
10,0.3723926246166229,0.6102398037910461,0.36625370383262634,0.6051889657974243
11,0.36834824085235596,0.6069169640541077,0.3679893910884857,0.606621265411377
12,0.365530788898468,0.604591429233551,0.3607422709465027,0.6006182432174683
13,0.362178236246109,0.6018124222755432,0.35823631286621094,0.5985284447669983
14,0.36048582196235657,0.600404679775238,0.35653913021087646,0.5971089601516724
15,0.357530802488327,0.5979387760162354,0.3553641438484192,0.5961242318153381
16,0.35593661665916443,0.5966042280197144,0.3570306599140167,0.5975204110145569
17,0.3539220690727234,0.5949134826660156,0.352083295583725,0.5933660864830017
18,0.35280701518058777,0.5939756035804749,0.3504454493522644,0.5919843316078186
19,0.35081911087036133,0.5922998785972595,0.3501477539539337,0.5917328596115112
20,0.3502459228038788,0.5918157696723938,0.3482992649078369,0.590168833732605
21,0.34807661175727844,0.5899801850318909,0.34992507100105286,0.5915446281433105
22,0.34772297739982605,0.5896803736686707,0.34962236881256104,0.5912887454032898
23,0.34564322233200073,0.5879142880439758,0.346047043800354,0.5882576107978821
24,0.34510859847068787,0.5874594449996948,0.3452366292476654,0.5875684022903442
25,0.3439437747001648,0.5864672064781189,0.3455145061016083,0.5878047943115234
26,0.3424849212169647,0.5852221250534058,0.34579259157180786,0.5880413055419922
27,0.34202632308006287,0.5848301649093628,0.34267961978912354,0.5853884220123291
28,0.3405507802963257,0.5835672616958618,0.3435176610946655,0.5861037969589233
29,0.3393459916114807,0.58253413438797,0.34224316477775574,0.5850155353546143
30,0.33914390206336975,0.5823606252670288,0.34171515703201294,0.5845640897750854
31,0.33776551485061646,0.5811759829521179,0.34454333782196045,0.5869781374931335
32,0.33762380480766296,0.5810540318489075,0.3441638648509979,0.586654782295227
33,0.3366352915763855,0.5802027583122253,0.34074074029922485,0.5837299823760986
34,0.3357677161693573,0.5794546604156494,0.34107738733291626,0.5840182900428772
35,0.33537688851356506,0.5791173577308655,0.3411567509174347,0.5840862393379211
36,0.334249347448349,0.5781430006027222,0.33951079845428467,0.582675576210022
37,0.3331252634525299,0.5771700143814087,0.33942124247550964,0.5825986862182617
38,0.33314502239227295,0.577187180519104,0.3385622203350067,0.5818610191345215
39,0.33230775594711304,0.5764613747596741,0.3416846692562103,0.5845379829406738
40,0.33133789896965027,0.5756195783615112,0.33984777331352234,0.5829645991325378
41,0.3307358920574188,0.5750964283943176,0.33752453327178955,0.5809686183929443
42,0.3302018344402313,0.574631929397583,0.3395572900772095,0.5827154517173767
43,0.3297225534915924,0.5742146968841553,0.3367598056793213,0.5803101062774658
44,0.3287460207939148,0.5733637809753418,0.33695632219314575,0.5804793834686279
45,0.328639417886734,0.5732707977294922,0.33632612228393555,0.5799362659454346
46,0.32805657386779785,0.5727622509002686,0.33653873205184937,0.5801195502281189
47,0.3272975981235504,0.5720992684364319,0.33859315514564514,0.5818876028060913
48,0.32651177048683167,0.5714120864868164,0.3368106484413147,0.580353856086731
49,0.3258838951587677,0.5708624124526978,0.33579587936401367,0.5794789791107178
50,0.3260635733604431,0.5710197687149048,0.33701983094215393,0.5805341005325317
51,0.3247484862804413,0.5698670744895935,0.3370397686958313,0.580551266670227
52,0.32490211725234985,0.5700018405914307,0.3376680910587311,0.581092119216919
